播放列表由,#genre#
http://abc.com
www.iptv-search.com,#genre#
http://abc.com
智能生成,#genre#
http://abc.com
生成日期2025-02-15,#genre#
http://abc.com
Mylist,#genre#
凤凰卫视,http://221.7.175.154:8445/tsfile/live/1020_1.m3u8
凤凰香港,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476923.m3u8
凤凰中文,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476962.m3u8
凤凰香港,http://line.greatstar.me/play/live.php?mac=10:27:BE:15:59:81&extension=ts&stream=153402
凤凰香港,http://61.163.58.154:1321/ms/IPTV.php?id=125
凤凰中文,http://61.163.58.154:1321/ms/IPTV.php?id=123
凤凰资讯,http://61.163.58.154:1321/ms/IPTV.php?id=124
鳳凰香港,http://50.7.234.10:8278/hkphoenix_twn/playlist.m3u8?tid=MA5A4571836345718363&ct=19234&tsum=9d461ede3a5ecfa182b75574f86ae56a
鳳凰香港,http://50.7.234.10:8278/hkphoenix_twn/playlist.m3u8?tid=MACA2858291128582911&ct=19225&tsum=0f01288bbaa6c0403d07e96b0a5db4ed
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
鳳凰資訊,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰卫视,https://cdn.163189.xyz/live/fhzw/stream.m3u8
凤凰卫视美洲台,http://extraott.com:80/live/6772191932/1654508883/473556.m3u8
鳳凰香港,http://fm1077.serv00.net/Smart.php?id=hkphoenix_twn
凤凰香港台,http://extraott.com:80/live/6772191932/1654508883/473557.m3u8
凤凰资讯,http://extraott.com:80/live/6772191932/1654508883/62829.m3u8
凤凰资讯,https://cdn3.163189.xyz/live/fhzx/stream.m3u8
鳳凰資訊,http://fm1077.serv00.net/Smart.php?id=phoenixinfo_hd
凤凰中文,http://cdn.132.us.kg/live/fhzw/stream.m3u8
凤凰资讯,http://cdn3.132.us.kg/live/fhzx/stream.m3u8
凤凰资讯,http://222.210.29.252:19999/udp/239.93.1.4:2191
凤凰资讯,http://222.210.29.252:19999/udp/239.93.0.118:2191
凤凰中文,http://222.210.29.252:19999/udp/239.93.1.9:2192
凤凰中文,http://222.210.29.252:19999/udp/239.93.0.162:2192
凤凰香港,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476963.m3u8
凤凰中文,http://148.135.93.213:81/phenix.php?id=fhzw
凤凰资讯,http://148.135.93.213:81/phenix.php?id=fhzx
凤凰香港,http://148.135.93.213:81/phenix.php?id=fhhk
鳳凰香港,http://50.7.234.10:8278/hkphoenix_twn/playlist.m3u8?tid=MD0D2495250724952507&ct=19249&tsum=b1c0a577a7f4aaa9af143d124ba24a40
凤凰资讯,http://182.139.68.113:58888/udp/239.93.1.4:2191
凤凰资讯,http://182.139.68.113:58888/udp/239.93.0.118:2191
凤凰中文,http://182.139.68.113:58888/udp/239.93.1.9:2192
凤凰中文,http://182.139.68.113:58888/udp/239.93.0.162:2192
凤凰卫视中文台,http://27.152.51.219:1025/rtp/239.61.2.184:9092
凤凰卫视资讯台,http://27.152.51.219:1025/rtp/239.61.2.183:9086
凤凰卫视资讯台,http://111.224.100.58:4022/rtp/239.254.201.3:5227
凤凰卫视中文台,http://111.224.100.58:4022/rtp/239.254.201.2:5226
凤凰卫视电影台,http://111.224.100.58:4022/rtp/239.254.201.1:5214
凤凰资讯高清,http://122.242.95.227:58888/udp/233.50.200.192:5140
凤凰中文高清,http://122.242.95.227:58888/udp/233.50.200.191:5140
凤凰中文高清,http://122.242.95.227:58888/udp/233.50.200.42:5140
凤凰资讯,http://171.213.132.121:4022/udp/239.93.1.4:2191
凤凰资讯,http://171.213.132.121:4022/udp/239.93.0.118:2191
凤凰中文,http://171.213.132.121:4022/udp/239.93.1.9:2192
凤凰中文,http://171.213.132.121:4022/udp/239.93.0.162:2192
凤凰香港,http://42.94.211.108:9000/udp/239.255.30.123:8231
凤凰中文HD,http://36.20.12.224:4022/udp/233.50.200.191:5140
凤凰资讯HD,http://36.20.12.224:4022/udp/233.50.200.192:5140
凤凰资讯高清,http://123.174.106.130:8888/udp/239.1.1.127:8127
凤凰卫视高清,http://123.174.106.130:8888/udp/239.1.1.126:8126
凤凰卫视资讯台,http://106.116.241.178:9999/rtp/239.254.201.3:5227
凤凰卫视中文台,http://106.116.241.178:9999/rtp/239.254.201.2:5226
凤凰卫视电影台,http://106.116.241.178:9999/rtp/239.254.201.1:5214
凤凰资讯,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476961.m3u8
凤凰资讯,http://50.7.234.10:8278/phoenixinfo_hd/playlist.m3u8?tid=m7f4a830029be&ct=18336&tsum=74f57bddc0725f74838380086dce3e44
凤凰中文HD,http://118.250.111.57:58888/udp/239.76.246.134:1234
凤凰资讯高清,http://183.134.151.47:9988/udp/233.50.200.192:5140
凤凰中文高清,http://183.134.151.47:9988/udp/233.50.200.191:5140
凤凰中文高清,http://183.134.151.47:9988/udp/233.50.200.42:5140
凤凰资讯HD,http://36.25.232.33:8889/udp/233.50.200.192:5140
凤凰卫视,http://119.32.12.17:2901/udp/224.1.100.3:11111
凤凰资讯,http://222.209.122.127:4443/udp/239.93.1.4:2191
凤凰资讯,http://222.209.122.127:4443/udp/239.93.0.118:2191
凤凰中文,http://222.209.122.127:4443/udp/239.93.1.9:2192
凤凰中文,http://222.209.122.127:4443/udp/239.93.0.162:2192
凤凰资讯高清,http://115.195.173.4:8888/udp/233.50.200.192:5140
凤凰中文高清,http://115.195.173.4:8888/udp/233.50.200.191:5140
凤凰中文高清,http://115.195.173.4:8888/udp/233.50.200.42:5140
特种兵之火凤凰,http://182.40.120.195/test-txdwk.flv.huya.com/src/1239543150714-1239543150714-11135001069078183936-2479086424884-10057-A-0-1.m3u8
凤凰香港,http://42.92.117.213:8888/udp/239.255.30.123:8231
凤凰卫视,http://50.7.234.10:8278/phoenixtv_hd/playlist.m3u8?tid=MF6F2163882521638825&ct=19249&tsum=2375037c2689c4190d14c8a52bc35c83
凤凰卫视资讯台,http://106.116.242.178:9999/rtp/239.254.201.3:5227
凤凰卫视中文台,http://106.116.242.178:9999/rtp/239.254.201.2:5226
凤凰卫视电影台,http://106.116.242.178:9999/rtp/239.254.201.1:5214
凤凰资讯高清,http://115.230.190.97:9999/udp/233.50.200.192:5140
凤凰中文高清,http://115.230.190.97:9999/udp/233.50.200.191:5140
凤凰中文高清,http://115.230.190.97:9999/udp/233.50.200.42:5140
凤凰资讯高清,http://60.184.42.71:8889/udp/233.50.200.192:5140
凤凰中文高清,http://60.184.42.71:8889/udp/233.50.200.191:5140
凤凰中文高清,http://60.184.42.71:8889/udp/233.50.200.42:5140
凤凰香港,http://42.94.211.116:9000/udp/239.255.30.123:8231
凤凰资讯HD,http://60.189.49.135:9999/udp/233.50.200.192:5140
凤凰中文HD,http://60.189.49.135:9999/udp/233.50.200.42:5140
凤凰资讯,http://182.138.160.167:9000/udp/239.93.1.4:2191
凤凰资讯,http://182.138.160.167:9000/udp/239.93.0.118:2191
凤凰中文,http://182.138.160.167:9000/udp/239.93.1.9:2192
凤凰中文,http://182.138.160.167:9000/udp/239.93.0.162:2192
凤凰资讯高清,http://60.189.49.207:9999/udp/233.50.200.192:5140
凤凰中文高清,http://60.189.49.207:9999/udp/233.50.200.191:5140
凤凰中文高清,http://60.189.49.207:9999/udp/233.50.200.42:5140
凤凰资讯高清,http://36.24.188.203:8888/udp/233.50.200.192:5140
凤凰中文高清,http://36.24.188.203:8888/udp/233.50.200.191:5140
凤凰中文高清,http://36.24.188.203:8888/udp/233.50.200.42:5140
凤凰资讯,http://171.213.132.83:55555/udp/239.93.1.4:2191
凤凰资讯,http://171.213.132.83:55555/udp/239.93.0.118:2191
凤凰中文,http://171.213.132.83:55555/udp/239.93.1.9:2192
凤凰中文,http://171.213.132.83:55555/udp/239.93.0.162:2192
鳳凰資訊,http://50.7.234.10:8278/phoenixinfo_hd/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=94c9b15cff25b978e637ccd4720b9f20
凤凰资讯HD,http://115.207.213.141:55555/udp/233.50.200.192:5140
凤凰中文HD,http://115.207.213.141:55555/udp/233.50.200.191:5140
鳳凰香港,http://50.7.234.10:8278/hkphoenix_twn/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=abaf823db62b8b65a6960125af1a2933
凤凰资讯高清,http://60.162.227.245:9999/udp/233.50.200.192:5140
凤凰中文高清,http://60.162.227.245:9999/udp/233.50.200.191:5140
凤凰中文高清,http://60.162.227.245:9999/udp/233.50.200.42:5140
凤凰资讯,http://171.213.131.17:55555/udp/239.93.1.4:2191
凤凰资讯,http://171.213.131.17:55555/udp/239.93.0.118:2191
凤凰中文,http://171.213.131.17:55555/udp/239.93.1.9:2192
凤凰中文,http://171.213.131.17:55555/udp/239.93.0.162:2192
凤凰资讯高清,http://122.242.103.238:4000/udp/233.50.200.192:5140
凤凰中文高清,http://122.242.103.238:4000/udp/233.50.200.191:5140
凤凰中文高清,http://122.242.103.238:4000/udp/233.50.200.42:5140
凤凰卫视中文台,http://120.38.46.131:9999/rtp/239.61.2.184:9092
凤凰卫视资讯台,http://120.38.46.131:9999/rtp/239.61.2.183:9086
凤凰资讯高清,http://183.130.34.138:9011/udp/233.50.200.192:5140
凤凰中文高清,http://183.130.34.138:9011/udp/233.50.200.191:5140
