闽南频测,#genre#
民视新闻地波,http://rihou.cc:555/tv/[mn]民视新闻
中视新闻地波,http://rihou.cc:555/tv/[mn]中视新闻
华视新闻地波,http://rihou.cc:555/tv/[mn]华视新闻
台视新闻地波,http://rihou.cc:555/tv/[mn]台视新闻
公视闽南地波,http://rihou.cc:555/tv/[mn]公视闽南
民视闽南地波,http://rihou.cc:555/tv/[mn]民视闽南
中视闽南地波,http://rihou.cc:555/tv/[mn]中视闽南
华视闽南地波,http://rihou.cc:555/tv/[mn]华视闽南
台视闽南地波,http://rihou.cc:555/tv/[mn]台视闽南
公视闽语地波,http://rihou.cc:555/tv/[mn]公视闽语
公视综合地波,http://rihou.cc:555/tv/[mn]公视综合
民视南闽地波,http://rihou.cc:555/tv/[mn]民视南闽
民视第一地波,http://rihou.cc:555/tv/[mn]民视第一
中视经典地波,http://rihou.cc:555/tv/[mn]中视经典
中视菁采地波,http://rihou.cc:555/tv/[mn]中视菁采
华视教育地波,http://rihou.cc:555/tv/[mn]华视教育
台视综合地波,http://rihou.cc:555/tv/[mn]台视综合
台视财经地波,http://rihou.cc:555/tv/[mn]台视财经
特区Mttv,#genre#
有线新闻Mttv,http://rihou.cc:555/tv/[Mt]有线新闻
无线新闻Mttv,http://rihou.cc:555/tv/[Mt]无线新闻
Now新闻Mttv,http://rihou.cc:555/tv/[Mt]Now新闻
无线翡翠Mttv,http://rihou.cc:555/tv/[Mt]无线翡翠
无线明珠Mttv,http://rihou.cc:555/tv/[Mt]无线明珠
有线赛讯Mttv,http://rihou.cc:555/tv/[Mt]有线赛讯
有线综合Mttv,http://rihou.cc:555/tv/[Mt]有线综合
Plus综合Mttv,http://rihou.cc:555/tv/[Mt]Plus综合
Now财经Mttv,http://rihou.cc:555/tv/[Mt]Now财经
Now直播Mttv,http://rihou.cc:555/tv/[Mt]Now直播
Now体育Mttv,http://rihou.cc:555/tv/[Mt]Now体育
VIUTV'壹Mttv,http://rihou.cc:555/tv/[Mt]VIUTV壹
VIUTV'贰Mttv,http://rihou.cc:555/tv/[Mt]VIUTV贰
VIUTV'粤Mttv,http://rihou.cc:555/tv/[Mt]VIUTV粤
VIUTV'英Mttv,http://rihou.cc:555/tv/[Mt]VIUTV英
RTHK-31Mttv,http://rihou.cc:555/tv/[Mt]RTHK-31
特马SXtv,#genre#
Plus综合SXtv,http://rihou.cc:555/tv/[SX]Plus综合
凤凰中文SXtv,http://rihou.cc:555/tv/[SX]凤凰中文
凤凰资讯SXtv,http://rihou.cc:555/tv/[SX]凤凰资讯
凤凰香港SXtv,http://rihou.cc:555/tv/[SX]凤凰香港
无线新闻SXtv,http://rihou.cc:555/tv/[SX]无线新闻
无线翡翠SXtv,http://rihou.cc:555/tv/[SX]无线翡翠
无线明珠SXtv,http://rihou.cc:555/tv/[SX]无线明珠
无线千禧SXtv,http://rihou.cc:555/tv/[SX]无线千禧
无线星河国Sx,http://rihou.cc:555/tv/[SX]无线星河
无线华丽国Sx,http://rihou.cc:555/tv/[SX]无线华丽
无线华丽国Sx,http://rihou.cc:555/tv/[SX]无线丽华
美亚电影国Sx,http://rihou.cc:555/tv/[SX]美亚电影
天映频道国Sx,http://rihou.cc:555/tv/[SX]天映频道
天映经典粤Sx,http://rihou.cc:555/tv/[SX]天映经典
RTHK-31SXtv,http://rihou.cc:555/tv/[SX]RTHK-31
RTHK-32SXtv,http://rihou.cc:555/tv/[SX]RTHK-32
VIUTV'粤SXtv,http://rihou.cc:555/tv/[SX]VIUTV粤
VIUTV'英SXtv,http://rihou.cc:555/tv/[SX]VIUTV英
tvbS新闻SXtv,http://rihou.cc:555/tv/[SX]tvbS新闻
AstroaodSXtv,http://rihou.cc:555/tv/[SX]Astroaod
AstroAecSXtv,http://rihou.cc:555/tv/[SX]AstroAec
Astro_QJSXtv,http://rihou.cc:555/tv/[SX]Astro_QJ
Astro爱奇sxtv,http://rihou.cc:555/tv/[SX]Astro爱奇
Astro欢喜sxtv,http://rihou.cc:555/tv/[SX]Astro欢喜
八度空间SXtv,http://rihou.cc:555/tv/[SX]八度空间
特闽Hktv,#genre#
中天新闻Hktv,http://rihou.cc:555/tv/[Hv]中天新聞
寰宇新闻Hktv,http://rihou.cc:555/tv/[Hk]寰宇新闻
东森新闻Hktv,http://rihou.cc:555/tv/[Hk]东森新闻
中视新闻Hktv,http://rihou.cc:555/tv/[Hk]中视新闻
tvbS闽南Hktv,http://rihou.cc:555/tv/[Hv]tvbS闽南
无线体育Hktv,http://rihou.cc:555/tv/[Hk]无线体育
有线新闻Hktv,http://rihou.cc:555/tv/[Hk]有线新闻
无线新闻Hktv,http://rihou.cc:555/tv/[Hk]无线新闻
Now新闻Hktv,http://rihou.cc:555/tv/[Hk]Now新闻
Now华剧Hktv,http://rihou.cc:555/tv/[Hv]Now华剧
Now剧集Hktv,http://rihou.cc:555/tv/[Hv]Now剧集
Now紫金Hktv,http://rihou.cc:555/tv/[Hv]Now紫金
Now星影国hk,http://rihou.cc:555/tv/[Hv]Now星影
Now爆谷国hk,http://rihou.cc:555/tv/[Hv]Now爆谷
pₒₚc电影Hktv,http://rihou.cc:555/tv/[Hv]pₒₚc电影
美亚电影粤hk,http://rihou.cc:555/tv/[Hv]美亚电影
美亚电影国hk,http://rihou.cc:555/tv/[Hv]美亚电影|
天映电影Hktv,http://rihou.cc:555/tv/[Hk]天映电影
天映频道Hktv,http://rihou.cc:555/tv/[Hk]天映频道
天映频道Hktv,http://rihou.cc:555/tv/[Hv]天映频道
天映经典Hktv,http://rihou.cc:555/tv/[Hk]天映经典
天映经典Hktv,http://rihou.cc:555/tv/[Hv]天映经典
无线功夫国hk,http://rihou.cc:555/tv/[Hv]无线功夫
无线星河国hk,http://rihou.cc:555/tv/[Hv]无线星河
无线生活Hktv,http://rihou.cc:555/tv/[Hv]无线生活
无线翡剧Hktv,http://rihou.cc:555/tv/[Hv]无线翡剧
无线明剧Hktv,http://rihou.cc:555/tv/[Hv]无线明剧
无线奖门Hktv,http://rihou.cc:555/tv/[Hk]无线奖门
无线金曲Hktv,http://rihou.cc:555/tv/[Hk]无线金曲
黄金翡翠Hktv,http://rihou.cc:555/tv/[Hk]黄金翡翠
黄金华剧Hktv,http://rihou.cc:555/tv/[Hv]黄金华剧
HUB娱家Hktv,http://rihou.cc:555/tv/[Hk]HUB娱家
HUB都会Hktv,http://rihou.cc:555/tv/[Hk]HUB都会
特闽FYtv,#genre#
澳视澳门FYtv,http://iptv.4666888.xyz/iptv2A.php?id=41
广东珠江FYtv,http://iptv.4666888.xyz/iptv2A.php?id=19
广东体育FYtv,http://iptv.4666888.xyz/iptv2A.php?id=20
凤凰中文FYtv,http://iptv.4666888.xyz/iptv2A.php?id=27
有线新闻FYtv,http://iptv.4666888.xyz/iptv2A.php?id=31
无线翡翠FYtv,http://iptv.4666888.xyz/iptv2A.php?id=34
无线华丽FYtv,http://iptv.4666888.xyz/iptv2A.php?id=28
无线明珠FYtv,http://iptv.4666888.xyz/iptv2A.php?id=29
无线娱乐FYtv,http://iptv.4666888.xyz/iptv2A.php?id=36
无线千禧FYtv,http://iptv.4666888.xyz/iptv2A.php?id=22
无线1_美FYtv,http://iptv.4666888.xyz/iptv2A.php?id=25
无线J1美FYtv,http://iptv.4666888.xyz/iptv2A.php?id=26
无线翡剧FYtv,http://iptv.4666888.xyz/iptv2A.php?id=33
有线综合FYtv,http://iptv.4666888.xyz/iptv2A.php?id=35
美亚电影FYtv,http://iptv.4666888.xyz/iptv2A.php?id=30
RTHK-31FYtv,http://iptv.4666888.xyz/iptv2A.php?id=23
tvbs新闻FYtv,http://iptv.4666888.xyz/iptv2A.php?id=43
